id,name,amenity,lat,lon
187,Circle K,,10.7699632,106.6923622
188,FamilyMart,,10.7709554,106.6900191
189,Unknown,,10.764855,106.6987344
190,Unknown,,10.760632,106.6929757
191,Unknown,,10.7675893,106.6947722
192,Ministop,,10.7741035,106.6971573
193,Trần Đình Xu,,10.7632769,106.6882978
194,Unknown,,10.7917974,106.6902381
195,Công viên Lê Văn Tám,,10.7874018,106.6926157
196,Unknown,,10.7661723,106.6984381
197,Unknown,,10.7724614,106.6950674
198,Circle K,,10.7751257,106.7028402
199,Unknown,,10.7676268,106.7001231
200,Circle K,,10.7688695,106.7014884
201,Unknown,,10.7642868,106.6973479
202,Unknown,,10.7646306,106.6966172
203,Unknown,,10.7645863,106.6967021
204,Unknown,,10.7687743,106.6992892
205,Unknown,,10.7645562,106.6972327
206,Du Lịch Danh Danh,,10.7677332,106.6912882
207,Du Lịch Long Phương,,10.7675464,106.6907955
208,Unknown,,10.7723341,106.6963242
209,Unknown,,10.7715103,106.6929293
210,Chợ dân sinh - Ký Con,,10.76735,106.6982744
211,Circle K,,10.7660289,106.6827071
212,Khách sạn New World,,10.7709974,106.6959714
213,Circle K,,10.7677232,106.6947328
214,Circle K,,10.7682139,106.7009937
215,WinMart+,,10.7613866,106.6921565
216,Khách sạn New World,,10.7712473,106.6957873
217,Trường Trung học Phổ thông Ernst Thälmann,,10.7695735,106.6956974
218,Cirkle K,,10.7636236,106.6930378
219,WinMart+,,10.7612781,106.6923036
220,Unknown,,10.7614192,106.6921024
221,Cửa Hàng Tiện Lợi G25,,10.7844131,106.6964872
222,Cheers,,10.7726879,106.6972368
223,Circle K,,10.779199,106.7003005
224,FamilyMart,,10.7787817,106.7028124
225,WinMart+,,10.7868852,106.7117503
226,Ministop,,10.7867368,106.7113385
227,7-Eleven,,10.7865927,106.7100738
228,Unknown,parking,10.7727335,106.7029363
229,Hồ Tùng Mậu,,10.7707209,106.7040322
230,Cục Hải quan Thành phố,,10.7706453,106.70577
231,Cục Hải quan Thành phố,,10.7708759,106.7055179
232,7-Eleven,,10.7806435,106.7045255
233,FamilyMart,,10.7812739,106.70496
234,Tòa án Nhân dân Quận 1,,10.782509,106.7052866
235,Đền thờ Ấn Giáo,,10.773505,106.7013922
236,Thảo Cầm Viên,,10.7905929,106.7052576
237,Đài Truyền hình Thành phố,,10.7872273,106.7021055
238,Đinh Tiên Hoàng,,10.7862108,106.7011808
239,Phùng Khắc Khoan,,10.7839711,106.6986809
240,Phạm Viết Chánh,,10.7661864,106.6825413
241,Bệnh viện Từ Dũ,,10.7687115,106.684986
242,Tôn Thất Tùng,,10.7718402,106.6879277
243,Sở Y tế Thành phố,,10.7741294,106.6900059
